algorithm,avg_val_rmse,avg_val_mae,avg_train_rmse,avg_train_mae
Normal Predictor (Random),1.3234660010217112,1.0506093996279264,1.3232419739761438,1.0502964902697223
Baseline Only,0.8581444987286438,0.6755058526644945,0.8451296203885162,0.6652023205622827
SVD,0.8500604109342564,0.6594651538606958,0.6457645304967602,0.502873033762201
SVD++,0.8319368715647416,0.6417916173868722,0.7069957992371204,0.5475725653595146
NMF,0.8709763230481528,0.6828222632181,0.7892684458934327,0.6183198950781993
Slope One,0.8503979040045001,0.6618170544448301,0.7106344782693709,0.54260578456904
Co-Clustering,0.8683559623880758,0.6743462688484957,0.8368970035277418,0.64933130544212
k-NN Basic (item-based),0.8748757337818228,0.6796426665551354,0.699901009508594,0.5293001685397143
k-NN with Means (item-based),0.8504796449960673,0.6603333244636636,0.6895667719569514,0.5247319459187655
k-NN Baseline (item-based),0.846910013146017,0.6567634132649346,0.6852818338263172,0.5200787250638058
